E,counts
266.5,1.00802e+10
267.5,1.00802e+10
268.5,5.04008e+10
269.5,3.02405e+10
270.5,6.04809e+10
271.5,3.02405e+10
272.5,4.03206e+10
273.5,1.00802e+10
274.5,2.01603e+10
275.5,5.04008e+10
276.5,1.00802e+10
277.5,3.02405e+10
278.5,4.03206e+10
279.5,2.01603e+10
280.5,3.02405e+10
281.5,1.00802e+10
282.5,3.02405e+10
283.5,0
284.5,3.02405e+10
285.5,2.01603e+10
286.5,0
287.5,2.01603e+10
288.5,3.02405e+10
289.5,2.01603e+10
290.5,2.01603e+10
291.5,1.00802e+10
292.5,1.00802e+10
293.5,0
294.5,1.00802e+10
295.5,1.00802e+10
296.5,3.02405e+10
297.5,2.01603e+10
298.5,0
299.5,2.01603e+10
300.5,3.02405e+10
301.5,0
302.5,2.01603e+10
303.5,0
304.5,1.00802e+10
305.5,1.00802e+10
306.5,0
307.5,2.01603e+10
308.5,0
309.5,0
310.5,0
311.5,0
312.5,0
313.5,0
314.5,1.00802e+10
315.5,0
316.5,0
317.5,1.00802e+10
318.5,0
319.5,0
320.5,1.00802e+10
321.5,3.02405e+10
322.5,0
323.5,0
324.5,0
325.5,0
326.5,0
327.5,0
328.5,0
329.5,0
330.5,0
331.5,0
332.5,0
333.5,0
334.5,1.00802e+10
335.5,0
336.5,0
337.5,0
338.5,0
339.5,0
340.5,0
341.5,0
342.5,0
343.5,0
344.5,0
345.5,0
346.5,0
347.5,0
348.5,0
349.5,0
350.5,0
351.5,0
352.5,0
353.5,0
354.5,0
355.5,0
356.5,0
357.5,0
358.5,0
359.5,0
360.5,0
361.5,0
362.5,0
363.5,0
364.5,0
365.5,0
366.5,0
367.5,0
368.5,0
369.5,0
370.5,0
371.5,0
372.5,0
373.5,0
374.5,0
375.5,0
376.5,0
377.5,0
378.5,0
379.5,0
380.5,0
381.5,0
382.5,0
383.5,0
384.5,0
385.5,0
386.5,0
387.5,0
388.5,0
389.5,0
390.5,0
391.5,0
392.5,0
393.5,0
394.5,0
395.5,0
396.5,0
397.5,0
398.5,0
399.5,0
