E,N 
0.01,0.0 
0.011417351024761881,0.0 
0.013035590442263123,0.0 
0.014883191189434904,0.0 
0.016992661817842168,0.0 
0.019401118481937235,0.0 
0.022150937998127288,0.0 
0.025290503465235547,0.0 
0.02887505556555511,0.0 
0.03296766452514469,0.0 
0.03764033983501666,0.0 
0.04297529725877131,0.0 
0.04906640541968793,0.0 
0.05602083741998559,0.0 
0.06396095655250912,0.0 
0.07302646928395405,0.0 
0.08337688339138952,0.0 
0.0951943145030133,0.0 
0.10868669042424836,0.0 
0.12409140962932699,0.0 
0.14167951828955427,0.0 
0.1617604793331013,0.0 
0.1846876174479757,0.0 
0.21086433583304767,0.0 
0.240751214080918,0.0 
0.2748741120799438,0.0 
0.3138334225236458,0.0 
0.35831463482548775,0.0 
0.40910039631119616,0.0 
0.46708428290541293,0.0 
0.5332865216080285,0.0 
0.6088719413973125,0.0 
0.6951704684061362,0.0 
0.7937005259840996,0.0 
0.9061957513698607,0.0 
1.0346354990537543,0.0 
1.18127966753764,0.0 
1.348708462269126,0.0 
1.5398677943793428,0.0 
1.7581211140154807,0.0 
2.007308590276015,0.0 
2.2918146790201206,0.0 
2.616645267407469,0.0 
2.9875157525272993,0.0 
3.4109516038609824,0.0 
3.8944031789755407,0.0 
4.4463768126312315,0.0 
5.076584485817265,0.0 
5.796114708143602,0.0 
6.617627620266076,0.0 
7.555577749173749,0.0 
8.626468335719697,0.0 
9.84914170929052,54851369905.87056 
11.24511081875931,66201672312.81262 
12.838937753012264,73800117452.98045 
14.658665911120856,81066438345.07928 
16.736313426197775,84910489479.03204 
19.10843652473352,90326835615.56128 
21.81677273372638,93074674156.65094 
24.908975252840797,98315735303.22388 
28.43945141287902,99351033113.25134 
32.47031997325,105178172356.34119 
37.07250410209324,105540236100.34998 
42.32697927005233,107663913559.69421 
48.32619801440068,108355213584.01477 
55.17571664225632,108682135698.53125 
62.99605249474363,106781732521.62378 
71.92480445068152,102971847691.91064 
82.11907398007865,103376002198.57056 
93.75822934589476,99642524016.1665 
107.0470615902211,95314416620.66821 
122.21938783448603,88863716247.16016 
139.54216529378374,83934630734.12793 
159.32018839144752,77380657625.1128 
181.90145161963508,72824369933.75757 
207.6832725055112,68744354849.33228 
237.1192824166702,58769860388.91211 
270.7274082090774,56227101132.5791 
309.0989851547034,51568710484.913086 
352.90916149089145,47839564850.40039 
402.9287776595881,40274083883.27002 
460.0379292517755,36073741289.02197 
525.2414522972098,28456368950.086426 
599.6866033632961,28316095830.046387 
684.6832455445907,23918446793.473633 
781.7268955155814,16930072580.019043 
892.5250371598756,15229975830.330078 
1019.0271647642952,10816248264.21289 
1163.4590843881808,6922252977.19873 
1328.3620769407928,3707516359.711426 
1516.6376120414798,3670619505.494629 
1731.5983994034182,2299060194.190918 
1977.0266759904669,2111050493.940918 
2257.240754510131,756811016.4941406 
2577.171004164055,179273279.69384766 
2942.446600537911,71468662.3852539 
3359.4945709958592,34020180.791015625 
3835.6528782841588,14864296.817382812 
4379.299532050845,3858550.9731445312 
