E,N 
0.01,0.0 
0.011417351024761881,0.0 
0.013035590442263123,0.0 
0.014883191189434904,0.0 
0.016992661817842168,0.0 
0.019401118481937235,0.0 
0.022150937998127288,0.0 
0.025290503465235547,0.0 
0.02887505556555511,0.0 
0.03296766452514469,0.0 
0.03764033983501666,0.0 
0.04297529725877131,0.0 
0.04906640541968793,0.0 
0.05602083741998559,0.0 
0.06396095655250912,0.0 
0.07302646928395405,0.0 
0.08337688339138952,0.0 
0.0951943145030133,0.0 
0.10868669042424836,0.0 
0.12409140962932699,0.0 
0.14167951828955427,0.0 
0.1617604793331013,0.0 
0.1846876174479757,0.0 
0.21086433583304767,0.0 
0.240751214080918,0.0 
0.2748741120799438,0.0 
0.3138334225236458,0.0 
0.35831463482548775,0.0 
0.40910039631119616,0.0 
0.46708428290541293,0.0 
0.5332865216080285,0.0 
0.6088719413973125,0.0 
0.6951704684061362,0.0 
0.7937005259840996,0.0 
0.9061957513698607,0.0 
1.0346354990537543,0.0 
1.18127966753764,0.0 
1.348708462269126,0.0 
1.5398677943793428,0.0 
1.7581211140154807,0.0 
2.007308590276015,0.0 
2.2918146790201206,0.0 
2.616645267407469,0.0 
2.9875157525272993,0.0 
3.4109516038609824,0.0 
3.8944031789755407,0.0 
4.4463768126312315,0.0 
5.076584485817265,0.0 
5.796114708143602,0.0 
6.617627620266076,0.0 
7.555577749173749,0.0 
8.626468335719697,0.0 
9.84914170929052,1343181878.6310194 
11.24511081875931,973988319.42295 
12.838937753012264,2482160113.1186876 
14.658665911120856,1612068984.8331413 
16.736313426197775,2686952454.554205 
19.10843652473352,3403011824.9324627 
21.81677273372638,3123588251.5242176 
24.908975252840797,2260835175.26161 
28.43945141287902,3365474036.776943 
32.47031997325,1935267724.0897446 
37.07250410209324,4063622946.1189384 
42.32697927005233,4000114280.4049606 
48.32619801440068,6233292249.186481 
55.17571664225632,6943366865.777374 
62.99605249474363,7264747572.679634 
71.92480445068152,6472159770.943748 
82.11907398007865,8192517606.213654 
93.75822934589476,10270128021.993286 
107.0470615902211,7654346153.570908 
122.21938783448603,11210449085.908844 
139.54216529378374,15316472018.54689 
159.32018839144752,15419394321.355835 
181.90145161963508,14524459241.223953 
207.6832725055112,17291777784.739655 
237.1192824166702,17531545053.06668 
270.7274082090774,18566941339.858826 
309.0989851547034,14622693834.709473 
352.90916149089145,13025266991.806091 
402.9287776595881,15796942905.59079 
460.0379292517755,16376065067.751251 
525.2414522972098,13672800799.302032 
599.6866033632961,15700933389.318115 
684.6832455445907,11784993242.038696 
781.7268955155814,13036320611.30841 
892.5250371598756,9979891573.419312 
1019.0271647642952,6718564708.220154 
1163.4590843881808,3911763722.015625 
1328.3620769407928,3022027294.1168823 
1516.6376120414798,2378569015.4195557 
1731.5983994034182,2367890302.507324 
1977.0266759904669,219116555.81079102 
2257.240754510131,431737155.02264404 
2577.171004164055,2240553.4700317383 
2942.446600537911,429235757.0716553 
3359.4945709958592,581859.8670043945 
3835.6528782841588,0.0 
4379.299532050845,0.0 
